"Rk,Player,Age,Pos,Date,Tm,,Opp,,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc"
"1,Zach LaVine\lavinza01,23-356,G,2019-03-01,CHI,@,ATL,W,1,56,17,35,.486,11,21,.524,6,14,.429,7,11,.636,2,7,9,9,2,0,8,3,47,30.3"
"2,Trae Young\youngtr01,20-163,G,2019-03-01,ATL,,CHI,L,1,56,17,33,.515,11,20,.550,6,13,.462,9,11,.818,1,7,8,16,1,1,9,2,49,37.8"
"3,Bradley Beal\bealbr01,25-199,G,2019-01-13,WAS,,TOR,L,1,55,17,36,.472,11,24,.458,6,12,.500,3,7,.429,2,8,10,15,3,2,4,3,43,36.5"
"4,Devin Booker\bookede01,22-053,G,2018-12-22,PHO,@,WAS,L,1,55,12,28,.429,10,16,.625,2,12,.167,7,8,.875,3,1,4,14,1,1,4,5,33,25.7"
"5,Otto Porter\porteot01,25-271,F,2019-03-01,CHI,@,ATL,W,1,55,10,25,.400,3,12,.250,7,13,.538,4,4,1.000,2,8,10,4,1,0,3,4,31,20.5"
"6,Trevor Ariza\arizatr01,33-175,F,2018-12-22,WAS,,PHO,W,1,54,5,18,.278,4,11,.364,1,7,.143,3,4,.750,2,5,7,7,3,0,5,4,14,7.2"
"7,Bradley Beal\bealbr01,25-177,G,2018-12-22,WAS,,PHO,W,1,54,17,33,.515,13,21,.619,4,12,.333,2,2,1.000,6,5,11,15,0,1,8,5,40,30.6"
"8,Lauri Markkanen\markkla01,21-283,F-C,2019-03-01,CHI,@,ATL,W,1,54,9,18,.500,6,12,.500,3,6,.500,10,12,.833,2,15,17,2,1,1,1,2,31,28.4"
"9,Tim Frazier\fraziti01,28-150,G,2019-03-31,MIL,@,ATL,L,1,53,8,17,.471,6,10,.600,2,7,.286,2,2,1.000,5,2,7,15,1,0,5,4,20,20.3"
"10,T.J. Warren\warretj01,25-108,F,2018-12-22,PHO,@,WAS,L,1,53,9,18,.500,6,12,.500,3,6,.500,7,12,.583,1,7,8,4,2,2,1,3,28,23.8"
"11,Bradley Beal\bealbr01,25-151,G,2018-11-26,WAS,,HOU,W,1,50,12,18,.667,8,10,.800,4,8,.500,4,5,.800,1,0,1,4,0,2,2,4,32,25.1"
"12,Paul George\georgpa01,28-296,F,2019-02-22,OKC,,UTA,W,1,50,17,31,.548,12,18,.667,5,13,.385,6,6,1.000,1,8,9,7,1,0,0,3,45,37.9"
"13,Kyle Lowry\lowryky01,32-294,G,2019-01-13,TOR,@,WAS,W,1,50,4,15,.267,2,5,.400,2,10,.200,2,3,.667,1,4,5,11,2,0,5,4,12,7.7"
"14,Russell Westbrook\westbru01,30-059,G,2019-01-10,OKC,@,SAS,L,1,50,11,22,.500,11,18,.611,0,4,.000,2,5,.400,2,11,13,24,2,0,3,4,24,30.7"
"15,LaMarcus Aldridge\aldrila01,33-175,F-C,2019-01-10,SAS,,OKC,W,1,49,20,33,.606,20,33,.606,0,0,,16,16,1.000,4,5,9,4,0,4,5,2,56,45.0"
"16,DeMar DeRozan\derozde01,29-156,G-F,2019-01-10,SAS,,OKC,W,1,49,7,22,.318,7,22,.318,0,0,,2,5,.400,0,8,8,11,1,1,4,5,16,8.0"
"17,Jeff Green\greenje02,32-116,F,2018-12-22,WAS,,PHO,W,1,49,4,8,.500,2,4,.500,2,4,.500,10,10,1.000,1,7,8,0,1,0,0,1,20,19.4"
"18,Jeremy Lamb\lambje01,26-210,G-F,2018-12-26,CHO,@,BRK,L,1,49,11,18,.611,8,15,.533,3,3,1.000,6,7,.857,2,4,6,3,2,0,0,1,31,28.7"
"19,Zach LaVine\lavinza01,23-240,G,2018-11-05,CHI,@,NYK,W,1,49,13,25,.520,9,15,.600,4,10,.400,11,14,.786,0,4,4,4,3,2,8,1,41,27.5"
"20,Trevor Ariza\arizatr01,33-197,F,2019-01-13,WAS,,TOR,L,1,48,8,16,.500,4,6,.667,4,10,.400,3,6,.500,3,6,9,10,1,1,5,6,23,19.0"
"21,Jordan Clarkson\clarkjo01,26-251,G,2019-02-13,CLE,,BRK,L,0,48,16,34,.471,9,17,.529,7,17,.412,3,3,1.000,3,5,8,5,1,1,5,2,42,27.6"
"22,Tim Frazier\fraziti01,28-160,G,2019-04-10,MIL,,OKC,L,1,48,10,23,.435,6,17,.353,4,6,.667,5,7,.714,1,5,6,13,0,1,3,2,29,24.3"
"23,Joe Harris\harrijo01,27-160,G,2019-02-13,BRK,@,CLE,W,1,48,9,12,.750,5,7,.714,4,5,.800,3,3,1.000,0,4,4,2,0,0,1,3,25,20.6"
"24,Jake Layman\laymaja01,25-034,F,2019-04-10,POR,,SAC,W,1,48,7,15,.467,5,12,.417,2,3,.667,3,5,.600,0,4,4,2,1,0,4,2,19,9.3"
"25,Damian Lillard\lillada01,28-253,G,2019-03-25,POR,,BRK,W,1,48,10,30,.333,6,14,.429,4,16,.250,7,8,.875,3,3,6,12,1,0,0,3,31,24.8"
"26,Tomas Satoransky\satorto01,27-053,G,2018-12-22,WAS,,PHO,W,1,48,6,12,.500,4,8,.500,2,4,.500,3,4,.750,2,2,4,9,1,0,3,3,17,15.7"
"27,Anfernee Simons\simonan01,19-306,G,2019-04-10,POR,,SAC,W,1,48,13,21,.619,6,10,.600,7,11,.636,4,6,.667,3,3,6,9,1,0,2,2,37,34.2"
"28,Gary Trent\trentga02,20-082,G,2019-04-10,POR,,SAC,W,1,48,8,19,.421,7,14,.500,1,5,.200,2,3,.667,0,2,2,3,1,1,1,1,19,11.5"
"29,Derrick White\whitede01,24-192,G,2019-01-10,SAS,,OKC,W,1,48,10,17,.588,9,14,.643,1,3,.333,2,2,1.000,0,5,5,8,2,1,2,4,23,21.3"
"30,Steven Adams\adamsst01,25-217,C,2019-02-22,OKC,,UTA,W,1,47,7,14,.500,7,14,.500,0,0,,2,4,.500,7,3,10,3,5,1,3,2,16,18.0"
"31,Marc Gasol\gasolma01,33-305,C,2018-11-30,MEM,@,BRK,W,1,47,6,9,.667,4,5,.800,2,4,.500,1,2,.500,0,15,15,5,2,3,5,4,15,16.2"
"32,Paul George\georgpa01,28-253,F,2019-01-10,OKC,@,SAS,L,1,47,11,25,.440,8,18,.444,3,7,.429,5,7,.714,1,7,8,1,3,0,2,0,30,20.6"
"33,Tim Hardaway\hardati02,26-260,G,2018-12-01,NYK,,MIL,W,1,47,8,22,.364,5,14,.357,3,8,.375,2,4,.500,0,4,4,8,0,0,3,2,21,11.0"
"34,James Harden\hardeja01,29-092,G,2018-11-26,HOU,@,WAS,L,1,47,17,32,.531,10,17,.588,7,15,.467,13,15,.867,1,7,8,13,3,0,11,4,54,39.9"
"35,Justin Holiday\holidju01,29-214,F,2018-11-05,CHI,@,NYK,W,1,47,2,10,.200,0,4,.000,2,6,.333,0,0,,0,4,4,3,3,0,0,4,6,4.5"
"36,Kevin Knox\knoxke01,19-221,F,2019-03-20,NYK,,UTA,L,1,47,10,17,.588,7,11,.636,3,6,.500,4,6,.667,0,8,8,3,0,1,2,1,27,21.1"
"37,Damian Lillard\lillada01,28-235,G,2019-03-07,POR,,OKC,L,1,47,15,28,.536,12,18,.667,3,10,.300,18,20,.900,1,4,5,9,1,2,3,3,51,43.0"
"38,D.J. Wilson\wilsodj01,23-050,F,2019-04-10,MIL,,OKC,L,1,47,8,20,.400,6,13,.462,2,7,.286,0,0,,4,13,17,4,1,0,1,1,18,16.3"
"39,Clint Capela\capelca01,24-230,C,2019-01-03,HOU,@,GSW,W,1,46,12,19,.632,12,19,.632,0,0,,5,5,1.000,9,12,21,1,2,1,1,1,29,32.4"
"40,DeMarre Carroll\carrode01,32-201,F,2019-02-13,BRK,@,CLE,W,0,46,5,13,.385,2,8,.250,3,5,.600,5,5,1.000,3,4,7,1,0,1,1,1,18,14.2"
"41,Mike Conley\conlemi01,31-050,G,2018-11-30,MEM,@,BRK,W,1,46,13,25,.520,11,18,.611,2,7,.286,9,9,1.000,0,5,5,10,0,1,3,3,37,29.7"
"42,James Harden\hardeja01,29-206,G,2019-03-20,HOU,@,MEM,L,1,46,18,39,.462,9,22,.409,9,17,.529,12,12,1.000,1,6,7,8,2,2,3,3,57,44.2"
"43,Joe Ingles\inglejo01,31-143,F-G,2019-02-22,UTA,@,OKC,L,1,46,5,10,.500,0,1,.000,5,9,.556,0,0,,1,4,5,7,3,0,2,3,15,16.6"
"44,Josh Jackson\jacksjo02,22-054,F-G,2019-04-05,PHO,,NOP,W,1,46,15,29,.517,10,21,.476,5,8,.625,0,0,,1,8,9,5,2,0,0,3,35,28.1"
"45,Jemerrio Jones\jonesje01,24-000,F,2019-04-09,LAL,,POR,L,1,46,5,13,.385,4,11,.364,1,2,.500,0,0,,6,9,15,3,2,2,1,2,11,14.5"
"46,Donovan Mitchell\mitchdo01,22-168,G,2019-02-22,UTA,@,OKC,L,1,46,14,35,.400,10,25,.400,4,10,.400,6,6,1.000,1,3,4,5,0,1,3,2,38,21.1"
"47,Jamal Murray\murraja01,21-285,G,2018-12-05,DEN,@,ORL,W,1,46,10,25,.400,8,22,.364,2,3,.667,9,11,.818,1,3,4,8,1,0,1,3,31,22.7"
"48,Austin Rivers\riverau01,26-168,G,2019-01-16,HOU,,BRK,L,1,46,5,14,.357,2,5,.400,3,9,.333,0,0,,0,5,5,6,1,1,0,4,13,11.0"
"49,Austin Rivers\riverau01,26-171,G,2019-01-19,HOU,,LAL,W,1,46,2,8,.250,1,2,.500,1,6,.167,0,0,,1,4,5,5,0,1,0,4,5,4.7"
"50,Tomas Satoransky\satorto01,27-047,G,2018-12-16,WAS,,LAL,W,1,46,4,7,.571,3,5,.600,1,2,.500,2,2,1.000,2,2,4,5,3,0,2,2,11,13.4"
"51,Bradley Beal\bealbr01,25-149,G,2018-11-24,WAS,,NOP,W,1,45,7,15,.467,6,11,.545,1,4,.250,3,7,.429,1,5,6,8,1,3,2,3,18,16.4"
"52,Bradley Beal\bealbr01,25-181,G,2018-12-26,WAS,@,DET,L,1,45,10,23,.435,9,16,.563,1,7,.143,0,0,,0,4,4,1,2,2,2,1,21,11.8"
"53,Bradley Beal\bealbr01,25-260,G,2019-03-15,WAS,,CHO,L,1,45,15,29,.517,8,16,.500,7,13,.538,3,3,1.000,2,3,5,5,1,1,5,3,40,27.0"
"54,Bradley Beal\bealbr01,25-254,G,2019-03-09,WAS,@,MIN,L,1,45,13,25,.520,11,15,.733,2,10,.200,8,11,.727,1,9,10,9,1,1,3,3,36,29.7"
"55,Vince Carter\cartevi01,42-034,G-F,2019-03-01,ATL,,CHI,L,0,45,5,14,.357,2,4,.500,3,10,.300,0,0,,1,6,7,1,1,1,1,5,13,7.1"
"56,Bonzie Colson\colsobo01,23-088,F,2019-04-10,MIL,,OKC,L,1,45,7,16,.438,4,7,.571,3,9,.333,4,5,.800,2,8,10,0,3,0,2,0,21,17.0"
"57,Robert Covington\covinro01,28-014,F,2018-12-28,MIN,,ATL,L,1,45,10,20,.500,5,7,.714,5,13,.385,3,5,.600,4,3,7,4,1,3,3,6,28,21.4"
"58,DeMar DeRozan\derozde01,29-076,G-F,2018-10-22,SAS,@,LAL,W,1,45,11,29,.379,9,24,.375,2,5,.400,8,9,.889,1,7,8,14,1,0,2,3,32,26.1"
"59,Jeff Green\greenje02,32-106,F,2018-12-12,WAS,,BOS,L,1,45,7,11,.636,5,6,.833,2,5,.400,6,7,.857,2,8,10,2,1,1,0,4,22,22.0"
"60,James Harden\hardeja01,29-143,G,2019-01-16,HOU,,BRK,L,1,45,16,34,.471,11,15,.733,5,19,.263,21,23,.913,1,9,10,6,1,1,4,5,58,43.1"
"61,Kyle Kuzma\kuzmaky01,23-090,F,2018-10-22,LAL,,SAS,L,1,45,15,25,.600,11,15,.733,4,10,.400,3,4,.750,0,8,8,3,0,0,2,1,37,27.2"
"62,Kawhi Leonard\leonaka01,27-198,F,2019-01-13,TOR,@,WAS,W,1,45,15,29,.517,12,23,.522,3,6,.500,8,9,.889,6,5,11,5,3,2,3,3,41,35.7"
"63,CJ McCollum\mccolcj01,27-169,G,2019-03-07,POR,,OKC,L,1,45,9,24,.375,6,13,.462,3,11,.273,4,4,1.000,0,5,5,0,1,1,1,4,25,12.4"
"64,Kelly Olynyk\olynyke01,27-321,C-F,2019-03-06,MIA,@,CHO,W,1,45,8,14,.571,3,7,.429,5,7,.714,1,1,1.000,2,9,11,1,2,1,1,2,22,21.1"
"65,D'Angelo Russell\russeda01,22-280,G,2018-11-30,BRK,,MEM,L,1,45,10,27,.370,5,13,.385,5,14,.357,1,2,.500,0,1,1,8,3,1,8,2,26,11.5"
"66,Collin Sexton\sextoco01,20-040,G,2019-02-13,CLE,,BRK,L,1,45,10,22,.455,8,17,.471,2,5,.400,2,4,.500,3,3,6,5,0,0,2,3,24,15.1"
"67,Klay Thompson\thompkl01,28-277,G-F,2018-11-12,GSW,@,LAC,L,1,45,13,31,.419,8,15,.533,5,16,.313,0,0,,1,2,3,2,2,1,3,2,31,16.1"
"68,Kemba Walker\walkeke02,28-193,G,2018-11-17,CHO,,PHI,L,1,45,21,34,.618,15,20,.750,6,14,.429,12,12,1.000,0,7,7,4,4,0,9,2,60,43.7"
"69,Nicolas Batum\batumni01,30-012,F-G,2018-12-26,CHO,@,BRK,L,1,44,5,7,.714,3,3,1.000,2,4,.500,1,1,1.000,0,2,2,3,1,0,2,3,13,10.6"
"70,Bradley Beal\bealbr01,25-165,G,2018-12-10,WAS,@,IND,L,1,44,10,27,.370,6,18,.333,4,9,.444,6,7,.857,1,2,3,3,3,1,4,4,30,16.2"
"71,Bradley Beal\bealbr01,25-265,G,2019-03-20,WAS,@,CHI,L,1,44,7,19,.368,5,10,.500,2,9,.222,11,15,.733,2,5,7,7,3,2,6,4,27,19.5"
"72,Bradley Beal\bealbr01,25-230,G,2019-02-13,WAS,@,TOR,L,1,44,6,15,.400,4,8,.500,2,7,.286,14,15,.933,1,2,3,11,1,1,6,3,28,23.0"
"73,Mikal Bridges\bridgmi01,22-218,G,2019-04-05,PHO,,NOP,W,1,44,2,11,.182,2,8,.250,0,3,.000,5,5,1.000,0,4,4,4,1,1,0,2,9,7.0"
"74,Kentavious Caldwell-Pope\caldwke01,26-050,G,2019-04-09,LAL,,POR,L,1,44,11,31,.355,6,16,.375,5,15,.333,5,7,.714,0,5,5,8,1,0,2,2,32,19.2"
"75,Robert Covington\covinro01,27-313,F,2018-10-23,PHI,@,DET,L,1,44,6,11,.545,3,7,.429,3,4,.750,1,2,.500,2,6,8,2,1,1,1,5,16,13.6"
"76,Damyean Dotson\dotsoda01,24-322,G,2019-03-24,NYK,,LAC,L,1,44,7,16,.438,6,8,.750,1,8,.125,3,4,.750,1,2,3,2,0,0,1,2,18,10.1"
"77,Andre Drummond\drumman01,25-087,C,2018-11-05,DET,,MIA,L,1,44,11,19,.579,11,19,.579,0,0,,3,9,.333,11,13,24,3,1,1,4,3,25,23.9"
"78,Andre Drummond\drumman01,25-105,C,2018-11-23,DET,,HOU,W,1,44,9,18,.500,9,17,.529,0,1,.000,5,8,.625,9,11,20,1,3,5,1,1,23,28.2"
"79,Paul George\georgpa01,28-260,F,2019-01-17,OKC,,LAL,L,1,44,9,19,.474,4,7,.571,5,12,.417,4,6,.667,2,5,7,8,3,0,3,2,27,24.2"
"80,Rudy Gobert\goberru01,26-241,C,2019-02-22,UTA,@,OKC,L,1,44,9,12,.750,9,12,.750,0,0,,8,13,.615,7,10,17,2,1,3,3,5,26,26.6"
"81,Jerami Grant\grantje01,24-304,F,2019-01-10,OKC,@,SAS,L,1,44,10,20,.500,9,15,.600,1,5,.200,4,6,.667,5,7,12,1,0,3,3,6,25,17.2"
"82,Blake Griffin\griffbl01,29-221,F,2018-10-23,DET,,PHI,W,1,44,20,35,.571,15,25,.600,5,10,.500,5,11,.455,3,11,14,6,0,1,1,4,50,38.8"
"83,James Harden\hardeja01,29-186,G,2019-02-28,HOU,,MIA,W,1,44,16,32,.500,8,14,.571,8,18,.444,18,18,1.000,2,5,7,10,4,1,4,1,58,52.2"
"84,James Harden\hardeja01,29-130,G,2019-01-03,HOU,@,GSW,W,1,44,13,32,.406,3,9,.333,10,23,.435,8,9,.889,2,8,10,15,1,2,7,4,44,34.5"
"85,James Harden\hardeja01,29-090,G,2018-11-24,HOU,@,CLE,L,1,44,14,30,.467,9,18,.500,5,12,.417,7,12,.583,1,3,4,13,1,0,9,3,40,24.1"
"86,Tobias Harris\harrito02,26-230,F,2019-03-02,PHI,,GSW,L,1,44,7,20,.350,4,9,.444,3,11,.273,3,3,1.000,1,8,9,3,0,0,4,4,20,8.4"
"87,Josh Hart\hartjo01,23-307,G,2019-01-07,LAL,@,DAL,W,1,44,5,13,.385,4,8,.500,1,5,.200,3,3,1.000,1,11,12,6,5,0,2,4,14,16.5"
"88,Kevin Huerter\huertke01,20-128,G,2019-01-02,ATL,@,WAS,L,1,44,5,14,.357,4,7,.571,1,7,.143,1,1,1.000,0,1,1,5,0,1,2,2,12,5.9"
"89,Brandon Ingram\ingrabr01,21-151,F,2019-01-31,LAL,@,LAC,W,1,44,7,12,.583,7,10,.700,0,2,.000,5,5,1.000,0,4,4,4,0,0,2,4,19,13.8"
"90,Kevin Knox\knoxke01,19-155,F,2019-01-13,NYK,,PHI,L,1,44,12,23,.522,8,14,.571,4,9,.444,3,4,.750,0,7,7,0,2,0,4,4,31,17.8"
"91,Kyle Kuzma\kuzmaky01,23-179,F,2019-01-19,LAL,@,HOU,L,1,44,12,19,.632,8,10,.800,4,9,.444,4,5,.800,2,6,8,3,2,0,3,5,32,25.4"
"92,Kawhi Leonard\leonaka01,27-153,F,2018-11-29,TOR,,GSW,W,1,44,14,24,.583,11,18,.611,3,6,.500,6,6,1.000,2,6,8,3,1,1,1,4,37,30.2"
"93,Jamal Murray\murraja01,21-250,G,2018-10-31,DEN,@,CHI,W,1,44,5,13,.385,5,9,.556,0,4,.000,2,2,1.000,1,7,8,6,0,1,1,1,12,11.2"
"94,Otto Porter\porteot01,25-224,F,2019-01-13,WAS,,TOR,L,0,44,10,19,.526,5,9,.556,5,10,.500,2,2,1.000,1,7,8,1,2,1,1,3,27,21.7"
"95,Otto Porter\porteot01,25-141,F,2018-10-22,WAS,@,POR,W,1,44,6,16,.375,6,12,.500,0,4,.000,4,5,.800,2,8,10,0,2,1,1,5,16,10.3"
"96,Austin Rivers\riverau01,26-155,G,2019-01-03,HOU,@,GSW,W,1,44,7,18,.389,3,9,.333,4,9,.444,0,0,,0,4,4,4,1,0,0,2,18,12.4"
"97,Pascal Siakam\siakapa01,24-335,F,2019-03-03,TOR,@,DET,L,1,44,10,20,.500,9,16,.563,1,4,.250,0,2,.000,1,8,9,5,0,0,3,5,21,11.8"
"98,Pascal Siakam\siakapa01,24-286,F,2019-01-13,TOR,@,WAS,W,1,44,9,16,.563,9,14,.643,0,2,.000,6,6,1.000,5,14,19,2,3,2,5,6,24,22.5"
"99,Ben Simmons\simmobe01,22-200,G-F,2019-02-05,PHI,,TOR,L,1,44,8,15,.533,8,15,.533,0,0,,4,5,.800,2,5,7,6,3,0,6,1,20,16.0"
"100,Klay Thompson\thompkl01,28-294,G-F,2018-11-29,GSW,@,TOR,L,1,44,9,20,.450,6,11,.545,3,9,.333,2,2,1.000,0,3,3,3,0,1,4,3,23,11.1"