country,hrs
Australia,"1,676 "
Austria,"1,511 "
Belgium,"1,545 "
Canada,"1,695 "
Chile,"1,954 "
Czech Republic,"1,776 "
Denmark,"1,408 "
Estonia,"1,792 "
Finland,"1,556 "
France,..
Germany,"1,356 "
Greece,"1,956 "
Hungary,"1,740 "
Iceland,"1,858 "
Ireland,"1,738 "
Israel,"1,885 "
Italy,"1,723 "
Japan,"1,710 "
Korea,"2,024 "
Latvia,"1,695 "
Lithuania,"1,608 "
Luxembourg,"1,518 "
Mexico,"2,257 "
Netherlands,"1,433 "
New Zealand,"1,753 "
Norway,"1,419 "
Poland,"1,815 "
Portugal,"1,727 "
Slovak Republic,"1,714 "
Slovenia,"1,655 "
Spain,"1,687 "
Sweden,"1,470 "
Switzerland,"1,570 "
Turkey,..
United Kingdom,"1,543 "
United States,"1,780 "
OECD countries,"1,746 "
Costa Rica,"2,179 "
Russian Federation,"1,980 "